"gene","distance","Z","FC","p.value","p.adj"
"KRT19",1.12990168408283e-05,1.05125828437233,0.810181574941942,0.368066573456247,0.999999999894589
"DDIT3",1.08910047847116e-05,1.03125900352023,0.752726053315152,0.385614516283678,0.999999999894589
"HOXD1",1.0689985994358e-05,1.02117063323858,0.725195871166855,0.394444839841533,0.999999999894589
"RND3",1.04906079143721e-05,1.01100407352236,0.698396994286587,0.403322852160881,0.999999999894589
"TMSB10",1.03153901691404e-05,1.0019330005623,0.675262090808288,0.411222996140087,0.999999999894589
"KRT7",1.02341678299864e-05,0.997683605366234,0.664670065050765,0.414916059994014,0.999999999894589
"CST6",1.02329990924565e-05,0.997622250414167,0.664518263652466,0.414969343499381,0.999999999894589
"HLA-DPB1",9.79043277212354e-06,0.973949076026287,0.60828181003834,0.435435473399064,0.999999999894589
"TSPAN8",9.64414154683277e-06,0.965923720624572,0.590239407814377,0.442326556134196,0.999999999894589
"HOPX",9.5530007854169e-06,0.960871391369336,0.579136153486789,0.446651120508447,0.999999999894589
"AQP1",9.52895923852413e-06,0.959531837489171,0.576224856975905,0.447795872579,0.999999999894589
"PGM2L1",9.44433577746397e-06,0.95479380033435,0.566035785851855,0.451838503666082,0.999999999894589
"SH3BGRL3",9.34705449645635e-06,0.949302269998762,0.554434951018291,0.456511216429138,0.999999999894589
"LGALS1",9.33100057206829e-06,0.948391360709281,0.552532060005136,0.457284937562477,0.999999999894589
"SOD3",9.15078228262325e-06,0.938073196186344,0.531395039098049,0.466020945922361,0.999999999894589
"DUSP5",9.12340075232898e-06,0.936490418172531,0.528219651551878,0.467356318081443,0.999999999894589
"CKS2",8.98907628052917e-06,0.928666866380228,0.512780122833107,0.473937832485192,0.999999999894589
"CRIP1",8.80641558612311e-06,0.917867054812796,0.492152168982714,0.482968838710689,0.999999999894589
"MVP",8.6575830494693e-06,0.908925658016962,0.475657537278818,0.490395885929177,0.999999999894589
"RALA",8.50706398363127e-06,0.899749078190274,0.459261932464876,0.497969112131085,0.999999999894589
"CD74",8.45139586659638e-06,0.896320226104395,0.45327100599129,0.500785684973453,0.999999999894589
"TGM2",8.20431851396945e-06,0.880865992510574,0.427155571575309,0.513387976765666,0.999999999894589
